Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude;
Adamantina;1;0;0,00%;3500105;-21,682;-51,0737;
Águas de Lindóia;2;1;50,00%;3500501;-22,4733;-46,6314;
Águas de São Pedro;1;0;0,00%;3500600;-22,5977;-47,8734;
Agudos;7;1;14,29%;3500709;-22,4694;-48,9863;
Alambari;1;0;0,00%;3500758;-23,5503;-47,898;
Americana;28;3;10,71%;3501608;-22,7374;-47,3331;
Américo Brasiliense;4;0;0,00%;3501707;-21,7288;-48,1147;
Amparo;6;0;0,00%;3501905;-22,7088;-46,772;
Andradina;5;0;0,00%;3502101;-20,8948;-51,3786;
Angatuba;2;1;50,00%;3502200;-23,4917;-48,4139;
Aparecida;1;0;0,00%;3502507;-22,8495;-45,2325;
Apiaí;1;0;0,00%;3502705;-24,5108;-48,8443;
Araçariguama;2;0;0,00%;3502754;-23,4366;-47,0608;
Araçatuba;46;1;2,17%;3502804;-21,2076;-50,4401;
Araçoiaba da Serra;1;0;0,00%;3502903;-23,5029;-47,6166;
Arandu;9;2;22,22%;3503109;-23,1386;-49,0487;
Araraquara;49;3;6,12%;3503208;-21,7845;-48,178;
Araras;10;0;0,00%;3503307;-22,3572;-47,3842;
Areiópolis;1;0;0,00%;3503604;-22,6672;-48,6681;
Artur Nogueira;1;0;0,00%;3503802;-22,5727;-47,1727;
Arujá;28;1;3,57%;3503901;-23,3965;-46,32;
Assis;7;1;14,29%;3504008;-22,66;-50,4183;
Atibaia;23;1;4,35%;3504107;-23,1171;-46,5563;
Avaí;1;0;0,00%;3504305;-22,1514;-49,3356;
Avaré;10;1;10,00%;3504503;-23,1067;-48,9251;
Bady Bassitt;2;0;0,00%;3504602;-20,9197;-49,4385;
Bariri;1;0;0,00%;3505203;-22,073;-48,7438;
Barra Bonita;1;0;0,00%;3505302;-22,4909;-48,5583;
Barra do Turvo;1;0;0,00%;3505401;-24,759;-48,5013;
Barretos;18;2;11,11%;3505500;-20,5531;-48,5698;
Barrinha;1;1;100,00%;3505609;-21,1864;-48,1636;
Barueri;170;11;6,47%;3505708;-23,5057;-46,879;
Batatais;1;0;0,00%;3505906;-20,8929;-47,5921;
Bauru;63;6;9,52%;3506003;-22,3246;-49,0871;
Bebedouro;3;0;0,00%;3506102;-20,9491;-48,4791;
Bilac;1;0;0,00%;3506409;-21,404;-50,4746;
Birigui;9;0;0,00%;3506508;-21,291;-50,3432;
Biritiba Mirim;1;0;0,00%;3506607;-23,5698;-46,0407;
Boituva;7;0;0,00%;3507001;-23,2855;-47,6786;
Borborema;1;0;0,00%;3507407;-21,6214;-49,0741;
Botucatu;35;2;5,71%;3507506;-22,8837;-48,4437;
Bragança Paulista;37;7;18,92%;3507605;-22,9527;-46,5419;
Brodowski;4;0;0,00%;3507803;-20,9845;-47,6572;
Buritama;4;0;0,00%;3508108;-21,0661;-50,1475;
Cabreúva;1;0;0,00%;3508405;-23,3053;-47,1362;
Caçapava;8;0;0,00%;3508504;-23,0992;-45,7076;
Cachoeira Paulista;3;0;0,00%;3508603;-22,6665;-45,0154;
Caiabu;1;1;100,00%;3508900;-22,0127;-51,2394;
Caieiras;56;10;17,86%;3509007;-23,3607;-46,7397;
Cajamar;19;3;15,79%;3509205;-23,355;-46,8781;
Cajati;4;0;0,00%;3509254;-24,7324;-48,1223;
Cajuru;2;0;0,00%;3509403;-21,2749;-47,303;
Campinas;229;11;4,80%;3509502;-22,9053;-47,0659;
Campo Limpo Paulista;8;1;12,50%;3509601;-23,2078;-46,7889;
Campos do Jordão;3;0;0,00%;3509700;-22,7296;-45,5833;
Cananéia;3;0;0,00%;3509908;-25,0144;-47,9341;
Capão Bonito;1;0;0,00%;3510203;-24,0113;-48,3482;
Capela do Alto;1;0;0,00%;3510302;-23,4685;-47,7388;
Caraguatatuba;16;2;12,50%;3510500;-23,6125;-45,4125;
Carapicuíba;126;6;4,76%;3510609;-23,5235;-46,8407;
Castilho;2;0;0,00%;3511003;-20,8689;-51,4884;
Catanduva;9;3;33,33%;3511102;-21,1314;-48,977;
Cedral;1;0;0,00%;3511300;-20,9009;-49,2664;
Chavantes;1;0;0,00%;3557204;-23,0366;-49,7096;
Conchas;1;1;100,00%;3512308;-23,0154;-48,0134;
Cordeirópolis;1;0;0,00%;3512407;-22,4778;-47,4519;
Cotia;104;6;5,77%;3513009;-23,6022;-46,919;
Cravinhos;8;1;12,50%;3513108;-21,338;-47,7324;
Cruzeiro;3;1;33,33%;3513405;-22,5728;-44,969;
Cubatão;27;0;0,00%;3513504;-23,8911;-46,424;
Diadema;151;11;7,28%;3513801;-23,6813;-46,6205;
Dobrada;1;0;0,00%;3514007;-21,5155;-48,3935;
Dracena;4;2;50,00%;3514403;-21,4843;-51,535;
Duartina;1;0;0,00%;3514502;-22,4146;-49,4084;
Eldorado;1;1;100,00%;3514809;-24,5281;-48,1141;
Elias Fausto;1;0;0,00%;3514908;-23,0428;-47,3682;
Embu das Artes;68;6;8,82%;3515004;-23,6437;-46,8579;
Embu-Guaçu;13;3;23,08%;3515103;-23,8297;-46,8136;
Engenheiro Coelho;1;0;0,00%;3515152;-22,4836;-47,211;
Espírito Santo do Pinhal;1;0;0,00%;3515186;-22,1909;-46,7477;
Estiva Gerbi;1;0;0,00%;3557303;-22,2713;-46,9481;
Estrela d'Oeste;1;0;0,00%;3515202;-20,2875;-50,4049;
Fartura;1;0;0,00%;3515400;-23,3916;-49,5124;
Fernandópolis;4;0;0,00%;3515509;-20,2806;-50,2471;
Ferraz de Vasconcelos;62;3;4,84%;3515707;-23,5411;-46,371;
Franca;5;0;0,00%;3516200;-20,5352;-47,4039;
Francisco Morato;39;2;5,13%;3516309;-23,2792;-46,7448;
Franco da Rocha;78;9;11,54%;3516408;-23,3229;-46,729;
Garça;1;0;0,00%;3516705;-22,2125;-49,6546;
Guaíra;1;0;0,00%;3517406;-20,3196;-48,312;
Guararapes;3;0;0,00%;3518206;-21,2544;-50,6453;
Guararema;2;0;0,00%;3518305;-23,4112;-46,0369;
Guaratinguetá;1;0;0,00%;3518404;-22,8075;-45,1938;
Guarujá;98;2;2,04%;3518701;-23,9888;-46,258;
Guarulhos;399;46;11,53%;3518800;-23,4538;-46,5333;
Guzolândia;1;0;0,00%;3518909;-20,6467;-50,6645;
Hortolândia;12;0;0,00%;3519071;-22,8529;-47,2143;
Ibirá;1;0;0,00%;3519402;-21,083;-49,2448;
Ibiúna;5;0;0,00%;3519709;-23,6596;-47,223;
Iepê;1;1;100,00%;3519907;-22,6602;-51,0779;
Igarapava;2;0;0,00%;3520103;-20,0407;-47,7466;
Igaratá;1;0;0,00%;3520202;-23,2037;-46,157;
Iguape;3;0;0,00%;3520301;-24,699;-47,5537;
Ilha Comprida;11;1;9,09%;3520426;-24,7307;-47,5383;
Ilha Solteira;1;0;0,00%;3520442;-20,4326;-51,3426;
Ilhabela;4;0;0,00%;3520400;-23,7785;-45,3552;
Indaiatuba;14;3;21,43%;3520509;-23,0816;-47,2101;
Iracemápolis;1;0;0,00%;3521408;-22,5832;-47,523;
Itanhaém;7;1;14,29%;3522109;-24,1736;-46,788;
Itapecerica da Serra;64;6;9,38%;3522208;-23,7161;-46,8572;
Itapetininga;8;1;12,50%;3522307;-23,5886;-48,0483;
Itapeva;1;0;0,00%;3522406;-23,9788;-48,8764;
Itapevi;74;11;14,86%;3522505;-23,5488;-46,9327;
Itapira;15;3;20,00%;3522604;-22,4357;-46,8224;
Itaquaquecetuba;63;3;4,76%;3523107;-23,4835;-46,3457;
Itararé;1;0;0,00%;3523206;-24,1085;-49,3352;
Itariri;1;1;100,00%;3523305;-24,2834;-47,1736;
Itatiba;4;1;25,00%;3523404;-23,0035;-46,8464;
Itatinga;1;0;0,00%;3523503;-23,1047;-48,6157;
Itirapina;1;0;0,00%;3523602;-22,2562;-47,8166;
Itu;9;1;11,11%;3523909;-23,2544;-47,2927;
Itupeva;4;1;25,00%;3524006;-23,1526;-47,0593;
Jaborandi;1;0;0,00%;3524204;-20,6884;-48,4112;
Jaboticabal;13;3;23,08%;3524303;-21,252;-48,3252;
Jacareí;26;1;3,85%;3524402;-23,2983;-45,9658;
Jaci;8;0;0,00%;3524501;-20,8805;-49,5797;
Jaguariúna;5;0;0,00%;3524709;-22,7037;-46,9851;
Jales;2;0;0,00%;3524808;-20,2672;-50,5494;
Jandira;20;2;10,00%;3525003;-23,5275;-46,9023;
Jardinópolis;3;0;0,00%;3525102;-21,0176;-47,7606;
Jarinu;1;1;100,00%;3525201;-23,1039;-46,728;
Jaú;5;0;0,00%;3525300;-22,2936;-48,5592;
Joanópolis;1;0;0,00%;3525508;-22,927;-46,2741;
José Bonifácio;2;0;0,00%;3525706;-21,0551;-49,6892;
Jundiaí;69;12;17,39%;3525904;-23,1852;-46,8974;
Junqueirópolis;1;0;0,00%;3526001;-21,5103;-51,4342;
Juquiá;1;0;0,00%;3526100;-24,3101;-47,6426;
Juquitiba;1;1;100,00%;3526209;-23,9244;-47,0653;
Laranjal Paulista;5;2;40,00%;3526407;-23,0506;-47,8375;
Lavrinhas;1;1;100,00%;3526605;-22,57;-44,9024;
Leme;4;2;50,00%;3526704;-22,1809;-47,3841;
Lençóis Paulista;4;0;0,00%;3526803;-22,6027;-48,8037;
Limeira;13;1;7,69%;3526902;-22,566;-47,397;
