,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla-La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja,Total
2020-02-27,,,,,,,,,,,,,,,,,,,,
2020-02-28,5,1,0,0,0,0,0,2,1,0,6,0,0,1,0,0,0,0,0,16
2020-02-29,2,0,0,1,0,0,0,0,2,0,2,0,0,3,0,0,0,2,0,12
2020-03-01,4,-1,1,0,1,1,1,1,1,0,5,4,0,2,0,0,1,1,0,22
2020-03-02,0,0,0,0,0,9,2,0,9,0,0,2,0,19,0,0,0,6,1,48
2020-03-03,1,0,0,0,0,0,4,5,0,0,0,0,0,20,0,0,0,4,2,36
2020-03-04,0,0,1,3,0,0,5,3,0,0,4,0,1,21,0,0,2,4,4,48
2020-03-05,-1,1,3,1,1,0,1,0,9,0,0,0,0,20,0,0,0,0,4,39
2020-03-06,9,5,0,0,3,0,2,3,0,0,11,0,2,47,0,0,0,28,18,128
2020-03-07,6,5,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,0,10,65
2020-03-08,8,2,2,2,-1,2,0,8,25,0,7,0,2,28,0,1,0,57,16,159
2020-03-09,19,0,0,3,5,0,11,1,26,0,0,1,1,267,0,3,0,47,26,410
2020-03-10,17,25,15,2,3,0,13,33,49,0,13,1,16,313,0,5,9,46,63,623
2020-03-11,19,7,10,3,12,0,32,15,32,0,15,1,17,242,0,2,34,30,35,506
2020-03-12,25,19,15,6,14,4,44,21,104,0,11,10,-4,364,0,15,27,121,26,822
2020-03-13,104,16,20,8,19,13,79,77,56,0,18,20,50,602,2,9,57,71,38,1259
2020-03-14,50,0,25,-2,20,2,95,54,193,0,36,27,30,950,1,12,16,0,35,1544
2020-03-15,168,67,45,0,19,20,112,69,206,1,279,29,80,604,5,24,37,213,22,2000
2020-03-16,117,27,40,45,10,7,166,42,188,0,0,16,50,621,0,6,91,0,12,1438
2020-03-17,129,33,16,19,29,0,0,97,491,0,132,42,47,706,9,20,39,135,43,1987
2020-03-18,176,19,49,20,33,10,108,237,472,0,185,41,49,766,3,25,73,208,64,2538
2020-03-19,149,55,50,57,39,15,126,200,836,0,195,47,112,1140,3,45,96,217,49,3431
2020-03-20,279,79,52,34,67,61,243,279,568,4,184,56,125,388,1,37,72,275,29,2833
2020-03-21,228,64,142,43,61,71,379,319,933,0,258,57,161,1756,1,36,110,260,67,4946
2020-03-22,210,108,59,85,66,67,396,278,501,0,241,30,176,781,0,56,130,372,90,3646
2020-03-23,236,106,49,69,67,65,259,311,1221,1,297,109,293,873,3,49,92,324,93,4517
2020-03-24,510,120,68,78,76,78,387,405,1939,0,266,143,207,1777,0,40,128,307,55,6584
2020-03-25,539,149,117,84,100,85,315,480,2073,3,449,106,238,2245,10,92,183,543,126,7937
2020-03-26,396,209,62,98,127,161,603,548,1655,1,584,227,262,2569,1,119,214,675,67,8578
2020-03-27,387,222,59,95,94,139,551,644,1348,7,332,262,407,2077,3,118,230,655,241,7871
2020-03-28,484,254,104,107,147,127,578,659,1323,0,502,163,450,2277,3,88,188,535,200,8189
2020-03-29,405,266,84,96,100,86,734,623,763,4,750,62,367,1157,3,70,182,604,193,6549
2020-03-30,723,220,70,42,79,77,612,387,1131,4,326,104,584,1413,3,67,135,317,104,6398
2020-03-31,413,194,78,69,58,71,566,410,2616,9,398,68,316,3419,3,35,159,263,77,9222
2020-04-01,574,219,86,62,118,42,623,636,1218,17,414,51,393,2331,8,67,192,518,150,7719
2020-04-02,580,209,62,73,64,55,635,508,1813,4,386,158,410,2315,0,43,185,479,123,8102
2020-04-03,402,189,49,53,46,53,841,520,1656,7,316,56,377,2033,8,61,154,510,141,7472
2020-04-04,495,189,89,14,74,63,801,457,1274,11,277,86,406,2061,9,43,136,360,181,7026
2020-04-05,432,154,83,22,58,57,707,417,1298,10,283,68,319,1335,4,47,101,441,187,6023
2020-04-06,280,115,41,27,27,42,571,367,792,0,150,21,207,1139,3,24,158,182,127,4273
2020-04-07,186,102,33,49,76,18,475,465,1499,0,109,48,180,1746,6,24,124,211,127,5478
2020-04-08,230,100,26,43,37,71,711,477,1324,1,212,68,207,1981,1,43,112,431,105,6180
2020-04-09,264,136,32,36,72,47,701,460,1396,0,309,89,220,1427,0,30,108,354,75,5756
2020-04-10,249,146,62,40,24,40,574,584,781,7,367,59,188,906,2,27,173,297,50,4576
2020-04-11,202,138,28,19,29,60,393,441,1160,2,247,154,230,1066,3,30,69,412,147,4830
2020-04-12,294,101,65,27,31,33,242,575,1043,0,263,94,160,738,0,36,152,257,56,4167
2020-04-13,181,117,66,16,26,25,356,510,699,2,219,78,158,559,3,14,123,246,79,3477
2020-04-14,5,58,93,21,14,19,275,552,471,1,153,26,103,902,0,24,58,208,62,3045
2020-04-15,403,93,45,35,17,27,351,517,1308,2,211,78,111,1478,1,33,96,249,37,5092
2020-04-16,212,228,74,31,13,22,471,683,849,2,191,119,165,1168,1,78,102,315,459,5183
2020-04-17,246,98,60,31,21,39,846,523,962,1,254,138,140,1299,1,27,85,299,182,5252
2020-04-18,-33,97,42,80,26,106,352,390,1627,7,-74,62,71,953,0,13,123,266,-450,3658
