,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla-La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja,Total
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-03-05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
2020-03-06,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,5
2020-03-07,0,1,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,8
2020-03-08,0,2,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,5,0,17
2020-03-09,0,2,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,5,0,17
2020-03-10,0,3,0,0,0,0,0,0,3,0,1,0,0,21,0,0,0,6,1,35
2020-03-11,0,4,0,0,0,0,0,0,3,0,1,0,0,31,0,0,0,6,2,47
2020-03-12,0,6,1,1,0,0,1,0,4,0,1,1,0,56,0,0,0,11,2,84
2020-03-13,0,7,1,1,0,0,5,1,4,0,1,1,0,81,0,0,0,14,2,120
2020-03-14,2,7,1,1,1,0,6,3,6,0,4,2,0,86,0,0,0,14,3,136
2020-03-15,6,7,1,1,1,0,10,6,8,0,5,2,2,213,0,0,0,23,3,288
2020-03-16,7,11,1,1,1,0,17,9,12,0,5,2,2,213,0,0,1,23,4,309
2020-03-17,11,12,1,1,2,0,17,12,18,0,13,3,3,355,0,0,2,36,5,491
2020-03-18,19,13,1,1,3,1,28,22,41,0,22,6,3,390,0,0,3,40,5,598
2020-03-19,23,15,1,2,3,1,42,29,55,0,24,8,4,498,0,0,4,53,5,767
2020-03-20,30,17,2,2,4,1,42,43,82,0,33,10,5,628,0,0,5,71,7,1002
2020-03-21,40,22,5,4,7,2,84,55,122,0,50,12,9,804,0,1,9,85,15,1326
2020-03-22,47,24,8,4,9,5,112,74,191,0,69,14,12,1021,0,1,14,97,18,1720
2020-03-23,58,32,12,10,11,6,145,102,245,0,94,18,18,1263,0,2,24,120,22,2182
2020-03-24,87,37,22,10,16,9,216,124,282,0,115,26,20,1535,0,3,31,133,30,2696
2020-03-25,113,40,25,13,21,14,263,165,516,0,143,39,27,1825,0,5,33,155,37,3434
2020-03-26,134,48,27,17,24,17,316,206,672,0,167,58,32,2090,1,8,49,180,43,4089
2020-03-27,144,58,29,22,27,21,367,252,880,0,198,69,43,2412,1,15,58,207,55,4858
2020-03-28,175,58,33,26,36,22,448,321,1070,1,234,88,47,2757,1,17,70,221,65,5690
2020-03-29,207,93,41,29,39,26,539,380,1226,1,267,100,60,3082,1,20,84,265,68,6528
2020-03-30,236,106,49,37,40,27,622,442,1410,1,310,106,66,3392,1,25,102,297,71,7340
2020-03-31,248,138,55,42,55,37,708,516,1672,1,339,133,84,3603,1,34,113,325,85,8189
2020-04-01,308,169,63,46,62,54,774,585,1849,1,395,152,103,3865,1,37,130,369,90,9053
2020-04-02,343,200,69,58,68,60,854,641,2093,1,443,181,120,4175,1,42,141,412,101,10003
2020-04-03,376,224,70,69,73,64,916,723,2335,1,511,200,138,4483,2,46,151,444,109,10935
2020-04-04,426,251,76,71,78,68,989,786,2508,1,571,208,159,4723,2,51,171,477,128,11744
2020-04-05,470,270,80,75,80,68,1055,847,2637,2,613,218,174,4941,2,59,178,515,134,12418
2020-04-06,491,284,86,81,85,77,1132,919,2760,3,637,228,190,5136,2,68,187,548,141,13055
2020-04-07,528,312,96,84,89,85,1177,982,2908,4,672,258,204,5371,2,78,202,586,160,13798
2020-04-08,605,349,102,89,91,92,1255,1028,3041,4,724,271,213,5586,2,85,206,635,177,14555
2020-04-09,652,385,110,89,92,98,1322,1082,3148,4,767,283,231,5800,2,88,214,689,182,15238
2020-04-10,691,409,121,97,94,102,1431,1129,3231,4,796,288,243,5972,2,90,218,729,196,15843
2020-04-11,737,425,128,102,95,107,1483,1180,3331,4,818,303,261,6084,2,94,227,765,207,16353
2020-04-12,799,450,140,112,95,110,1543,1221,3442,4,838,312,274,6278,2,97,232,804,219,16972
2020-04-13,815,464,149,117,96,117,1626,1263,3538,4,876,321,284,6423,2,101,239,831,223,17489
2020-04-14,836,492,156,118,102,120,1714,1299,3666,4,907,334,290,6568,2,106,249,859,234,18056
2020-04-15,865,514,166,125,104,132,1755,1337,3756,4,945,342,299,6724,2,109,252,902,246,18579
2020-04-16,912,543,168,131,107,137,1796,1372,3855,4,972,359,310,6877,2,111,261,956,257,19130
2020-04-17,940,562,174,134,111,144,1852,1401,3752,4,999,372,320,7007,2,112,338,992,262,19478
2020-04-18,967,601,187,148,115,149,1913,1429,3879,4,1042,380,334,7132,2,115,354,1020,272,20043
2020-04-19,993,619,196,155,119,153,1963,1458,3933,4,1065,384,346,7239,2,116,369,1062,277,20453
2020-04-20,1013,637,200,157,119,158,2021,1493,4009,4,1079,389,352,7351,2,117,385,1081,285,20852
2020-04-21,1017,643,202,161,120,165,2075,1521,4152,4,1089,397,360,7460,2,120,397,1103,294,21282
2020-04-22,1050,656,211,164,121,167,2140,1554,4247,4,1106,404,368,7577,2,123,401,1124,298,21717
2020-04-23,1079,681,223,168,121,173,2188,1582,4343,4,1124,407,375,7684,2,124,409,1167,303,22157
2020-04-24,1107,695,231,172,128,178,2255,1612,4393,4,1147,411,382,7765,2,125,417,1193,307,22524
2020-04-25,1131,709,239,174,130,182,2292,1639,4498,4,1172,416,388,7848,2,126,429,1212,311,22902
